link;description;street;rooms;m2;floor;house_type;price
https://ss.lv/msg/lv/real-estate/flats/riga/kengarags/enfdp.html;"Куплю сразу - - 1 - 1.5 - 2 - 3 - 4 - комн. квартиры, 

в любо";Ķengarags::;-;-;77/7;-;pērku 
https://ss.lv/msg/lv/real-estate/flats/riga/kengarags/ancxj.html;Сдаётся 1-комнатная квартира на долгий срок. Есть вся бытовая те;Ķengarags::Prūšu 3/2;1;29;1/5;LT proj.;260  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/vecriga/acdco.html;Pārdošanā lielisks dzīvoklis, izcils variants investīcijai blaku;Vecrīga::Vāgnera 12;2;49;3/3;P. kara;119,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/admmg.html;Семья (Рижане, 4 человека (два взрослых и два ребёнка 11/13 лет);centrs::;3;-;-;-;vēlosīret 
https://ss.lv/msg/lv/real-estate/flats/riga/kengarags/ahbox.html;Сразу куплю Вашу квартиру или дом в Риге или Рижском районе. Мож;Ķengarags::;Citi;-;-;-;pērku 
https://ss.lv/msg/lv/real-estate/flats/riga/centre/ecpcd.html;Īpašnieks pārdod gaišu 4-istabu dzīvokli klusajā centrā 132kv. m;centrs::Skolas 34;4;132;3/6;Specpr.;249,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/ahkxg.html;"Terase, gāzes apkure. 
Kluss saulains, dzīvoklis ar panorāmas s";centrs::Bruņinieku 10;4;133;5/6;P. kara;295,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/amdle.html;Pārdod dzīvokli labā vietā. Plānojums paredz divas izolētas ista;Pļavnieki::Ilūkstes 109;2;50;4/9;602.;60,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/bhdjf.html;The developer offers a spacious two-level 3-room apartment in a ;centrs::Birznieka-Upīša 10A;3;78;5/6;Renov.;191,345  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/adixk.html;Attīstītājs piedāvā mājīgu un gaišu 3-istabu dzīvokli restaurētā;centrs::Birznieka-Upīša 10A;3;64;1/6;Renov.;138,030  €
https://ss.lv/msg/lv/real-estate/flats/riga/agenskalns/fejph.html;Pārdod trīsistabu dzīvokli jaunajā projektā Philosophers Residen;Āgenskalns::Raņķa d. 34;3;84;10/23;Jaun.;265,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/aoxxh.html;Pārdošanā lielisks dzīvoklis, izcils variants investīcijai blaku;centrs::Vāgnera 12;2;49;3/3;P. kara;119,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/dgbmo.html;Ekskluzīvs, moderns, gaišs un saulains dizaina dzīvoklis vēsturi;centrs::Stabu 19;4;215;2/7;Renov.;320,000  €
